No.,Question,Image,Image_1,Options,Answer,Topic,Level,Paper,Difficulty,Objective,Unique identifier
10,"The diagram shows the demand for and supply of a good and the marginal social costs (MSC) for 
that good. 
Assuming there are no external benefits, which area measures the net social benefit at output 
OQ? ",,9708_s23_qp_33_Q10b.png,"A x 
B x – y 
C x + y 
D x – y – z ",B,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_10
11,What would definitely result from the divorce of ownership and control? ,,,"A decreased moral hazard 
B the principal agent problem 
C greater productive efficiency 
D increased profit maximisation",B,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_11
12,"One reason for market failure is the existence of public goods. 
Which policy option is appropriate for addressing such a market failure? ",,,"A direct provision of the good by the government 
B provision of detailed information to consumers 
C subsidising firms that currently produce the good 
D the adoption of maximum price controls ",A,Topic 8: Government Micro Intervention,AL,9708_s23_qp_33,,,9708_s23_qp_33_12
13,"In 2020, the governor of California issued an order to ban the sale of new vehicles from 2035 that 
are powered by petrol or diesel fuel. 
Which type of government policy is this? ",,,"A a nudge 
B a permit to pollute 
C nationalisation 
D regulation ",D,Topic 8: Government Micro Intervention,AL,9708_s23_qp_33,,,9708_s23_qp_33_13
14,"The diagram illustrates a monopsony labour market in which the government has imposed a 
minimum wage. 
What is the difference between the wage the monopsonist wishes to pay and the wage received 
by labour? ",,9708_s23_qp_33_Q14b.png,"A W1W3 
B W1W2 
C W2W3 
D W2W4",B,Topic 8: Government Micro Intervention,AL,9708_s23_qp_33,,,9708_s23_qp_33_14
15,"Economics textbooks state that labour is a derived demand for a firm in imperfect competition. 
How is the demand curve for labour derived?",,,"A by multiplying the average physical product by the average revenue 
B by multiplying the average physical product by the marginal revenue 
C by multiplying the marginal physical product by the marginal cost 
D by multiplying the marginal physical product by the marginal revenue ",D,Topic 8: Government Micro Intervention,AL,9708_s23_qp_33,,,9708_s23_qp_33_15
16,"The diagram shows the Lorenz curves for Norway (N) and India (I). 
What can be concluded from a comparison of the Lorenz curves? ",,9708_s23_qp_33_Q16b.png,"A India is more likely to have lower indirect taxes and a public sector education system than Norway. 
B India is more likely to have a progressive income tax system and means tested benefits than Norway. 
C Norway is more likely to have a progressive tax system and public sector pensions than India. 
D Norway is likely to have a higher percentage of tax generated from indirect taxes and privately funded pensions than India. ",C,Topic 8: Government Micro Intervention,AL,9708_s23_qp_33,,,9708_s23_qp_33_16
17,"A reason for government intervention in the workings of the economy is to attempt to correct a 
market failure. Sometimes, though, government failure may occur. 
What is not a possible reason for government failure? ",,,"A Governments may have to make decisions on the basis of out-of-date information. 
B Governments may make decisions that reduce negative externalities. 
C The extent of the market failure may be difficult to judge. 
D When circumstances change, a government may be unable to respond quickly. ",B,Topic 8: Government Micro Intervention,AL,9708_s23_qp_33,,,9708_s23_qp_33_17
18,"A government wishes to support growth in the economy’s fishing industry. 
Which policy is likely to achieve sustainable growth in the fishing industry? ",,,"A giving more modern fishing boats with larger nets to workers who fish for a living 
B paying bonus payments for larger fish catches to workers who fish for a living 
C setting up a fish cooperative so that workers who fish for a living receive a higher price for the fish that they catch 
D subsidising the building of a fish farm in order to encourage workers who fish for a living to switch from sea fishing ",D,Topic 8: Government Micro Intervention,AL,9708_s23_qp_33,,,9708_s23_qp_33_18
19,"Four citizens have each been unemployed for the past six months. 
Which citizen would not be characterised as being structurally unemployed? ",,,"A worked as a coal miner but coal-fired power stations are now being closed and is not willing to retrain 
B no longer works in a town centre coffee shop because fewer people are buying goods in the town centre since a pandemic 
C cannot move with the firm that has relocated because of changing demand for its products 
D has many skills and is waiting to decide which job might be the most suitable ",D,Topic 9: The Macroeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_19
20,"In the diagram, OP is the equilibrium level of income and OQ is the full employment level of 
income in a closed economy. 
What is the deflationary gap? ",9708_s23_qp_33_Q20a.png,,"A PQ 
B RV 
C TV 
D UV ",D,Topic 9: The Macroeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_20
21,"What is the most effective policy a government could introduce to reduce frictional 
unemployment? ",,,"A cut welfare spending on benefits 
B improve information about job vacancies 
C reduce tax rates 
D raise interest rates ",B,Topic 9: The Macroeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_21
22,"In a closed economy with no government sector, when will an increase in investment spending 
generate the largest increase in equilibrium national income? ",,,"A when households have a high level of autonomous consumption 
B when households have a high level of compulsory saving 
C when households have a high marginal propensity to consume 
D when households have a high marginal propensity to save ",C,Topic 9: The Macroeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_22
23,Which combination of policies is most likely to increase output? ,,9708_s23_qp_33_Q23b.png,"A
B
C
D",C,Topic 9: The Macroeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_23
24,"A country is a net importer of oil. World oil prices have risen over the year. 
Assuming that all other factors remain the same, how is this likely to affect inflation, trade balance 
and unemployment in this country? ",,9708_s23_qp_33_Q24b.png,"A
B
C
D",C,Topic 9: The Macroeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_24
25,What would reduce the effectiveness of a supply-side stimulus to the economy? ,,,"A an imposition of maximum hours in a working week 
B an increase in public sector spending 
C the provision of new training schemes 
D the relaxation of import controls on raw materials ",A,Topic 10: Government Macro Intervention,AL,9708_s23_qp_33,,,9708_s23_qp_33_25
26,"A multinational company (MNC) shifts its manufacturing capacity to a developing country. 
What is likely to be the short-run effect of this in the developing country? ",,9708_s23_qp_33_Q26b.png,"A
B
C
D",D,Topic 11: International Economic Issues,AL,9708_s23_qp_33,,,9708_s23_qp_33_26
27,"To indicate the changing income distribution, the Kuznets curve plots gross domestic product per 
capita against an economic variable X. 
What is variable X? ",,,"A the exchange rate 
B the level of income inequality 
C the price level 
D the rate of interest ",B,Topic 11: International Economic Issues,AL,9708_s23_qp_33,,,9708_s23_qp_33_27
28,"Economists define the unemployed as being those who are not in work but are actively seeking 
work. Other groups of people in the population of working age include those classed as inactive 
or self-employed. 
Which groups of people are included as part of a country’s labour force? ",,9708_s23_qp_33_Q28b.png,"A
B
C
D",B,Topic 9: The Macroeconomy,AL,9708_s23_qp_33,,,9708_s23_qp_33_28
29,"The table shows some United Nations population statistics for 2010 and estimates for 2050. 
Which relationship can be confirmed from the table? ",9708_s23_qp_33_Q29a.png,,"A The least developed regions have the largest urban populations, actual or predicted, in both years. 
B The more developed regions have the lowest growth rate of urbanisation between 2010 and 2050. 
C The type of region with the greatest total population in 2010 is predicted to have the greatest rate of population growth by 2050. 
D The type of region with the greatest urban population in 2010 is predicted to have the highest level of urbanisation by 2050. ",B,Topic 11: International Economic Issues,AL,9708_s23_qp_33,,,9708_s23_qp_33_29
30,"The diagram shows a Lorenz curve with two areas, X and Y, identified. 
How is the corresponding Gini coefficient calculated? ",9708_s23_qp_33_Q30a.png,,"A X divided by (X plus Y) 
B (X plus Y) divided by X 
C (X plus Y) divided by Y 
D Y divided by (X plus Y) ",A,Topic 11: International Economic Issues,AL,9708_s23_qp_33,,,9708_s23_qp_33_30
1,"Studies show that some dentists replace patients’ teeth more often than is necessary. 
Which factor helps to explain why excessive dental treatment may take place? ",,,"A the existence of asymmetric information 
B the existence of dynamic efficiency 
C the existence of positive externalities 
D the existence of social benefits ",A,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_32,,,9708_s23_qp_32_1
2,"The diagram shows an individual’s indifference curve, I1, for apples and pears.

What can be concluded from the movement from point X to point Y on this curve? ",9708_s23_qp_32_Q2a.png,,"A The individual can afford more apples than pears. 
B The individual has not changed their total utility. 
C The individual prefers apples to pears. 
D The individual has gained more utility by moving from point X to point Y. ",B,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_32,,,9708_s23_qp_32_2
3,What is not necessary for successful price discrimination? ,,,"A ability to separate markets 
B different price elasticities of demand in each market 
C monopoly power 
D price leadership ",D,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_32,,,9708_s23_qp_32_3
4,"The diagram shows the cost curves of a firm. 
What is the level of output below which the firm will shut down in the long run? ",,9708_s23_qp_32_Q4b.png,"A
B
C
D",C,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_32,,,9708_s23_qp_32_4
5,"Steel producer X takes over its main competitor, steel producer Y. 
What would X expect to happen to the average revenue for its product and its long-run average 
cost as a result of this takeover? ",,9708_s23_qp_32_Q5b.png,"A
B
C
D",C,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_32,,,9708_s23_qp_32_5
6,Which statement is correct? ,,,"A External benefit minus private benefit equals social benefit. 
B Private benefit minus external benefit equals social benefit. 
C Social benefit minus external benefit equals private benefit. 
D Social benefit plus private benefit equals external benefit.",C,Topic 7: Price System and Microeconomy,AL,9708_s23_qp_32,,,9708_s23_qp_32_6
